CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50079167,YIA YIA'S TAVERNA,Brooklyn,1035,FLUSHING AVENUE,11237
50054997,OKUDA,Manhattan,458,WEST   17 STREET,10011
41625562,NEW CHEF HONG KITCHEN,Staten Island,55,VICTORY BOULEVARD,10301
50032968,ELLIE'S DINER & RESTAURANT,Bronx,58,METROPOLITAN OVAL,10462
50076040,GREAT WALL CHINESE RESTAURANT,Queens,10437,QUEENS BLVD,11375
50097018,EQX ROCKEFELLER CAFE,Manhattan,45,ROCKEFELLER PLAZA,10111
40551900,KILLMEYER'S OLD BAVARIA INN.,Staten Island,4256,ARTHUR KILL ROAD,10309
50058065,652 LIN'S GARDEN,Queens,652,SENECA AVENUE,11385
50115183,MARATHON COFFEE,Manhattan,1592,3 AVENUE,10128
41468453,THE 13TH STEP,Manhattan,149,2 AVENUE,10003
41415145,NATHAN'S FAMOUS,Brooklyn,569,MYRTLE AVENUE,11205
40365387,ARTURO'S,Manhattan,106,WEST HOUSTON STREET,10012
50005349,YANKY'S PIZZA,Brooklyn,4502,16 AVENUE,11204
50104366,LA CUCHARA PREMIUM SERVICES,Manhattan,588,WEST  207 STREET,10034
50093499,DOMINO'S,Queens,12521,ROCKAWAY BLVD,11420
50102722,SONNIER & CASTLE,Manhattan,554,WEST   48 STREET,10036
50115149,,Brooklyn,157,CENTRAL AVENUE,11221
41616526,MEERA DELI,Queens,11-57,44 DRIVE,11101
50006794,TABLE 87,Brooklyn,473,3 AVENUE,11215
50095118,DOMINO'S,Brooklyn,1111,PENNSYLVANIA AVENUE,11207
50067617,RIBALTA MO,Manhattan,2,PENN PLAZA,10121
50016101,TEXAS CHICKEN & BURGERS,Bronx,2660,3 AVENUE,10454
50034742,BLUJEEN,Manhattan,2143,FREDERICK DOUGLASS BOULEVARD,
50055414,SALEM'S HOUR,Brooklyn,1110,NOSTRAND AVENUE,11225
50117034,BROOKLYN MADE,Brooklyn,428,TROUTMAN STREET,11237
41581830,PAD THAI NOODLE LOUNGE,Manhattan,114,8 AVENUE,10011
50005257,DUNKIN,Brooklyn,527,METROPOLITAN AVENUE,11211
50009999,MEXICAN GRILL,Bronx,341,HUNTS POINT TERMINAL MARKET,10474
50102470,AL AFIA SEN TERANGA FOOD SERVICE CORP,Bronx,1230A,JEROME AVENUE,10452
50108863,WANGS,Brooklyn,671,UNION STREET,11215
41380595,EL PRESIDENTE # 2 RESTAURANT,Bronx,4-10,EAST  208 STREET,10467
50094827,GREAT WALL RESTAURANT,Queens,19919,32ND AVE,11358
